"Rank","Facet","Order","North Red Sea","Northern Crete","Change in dissimilarity red_crete"
"all_scfa","func","q0",0.116583046836879,0.0556541158264406,-52.2622565317658
"C1","func","q0",0.105370414532664,0.0658132308738815,-37.541072448301
"C2","func","q0",0.15234375583269,0.0234341610115604,-84.6175769505797
"C3","func","q0",0.119283304422574,0.0544323905017167,-54.3671339713359
"C4","func","q0",0.111743277609007,0.0582600895190991,-47.8625553449819
"C5","func","q0",0.156511041064401,0.100216102803187,-35.9686689695262
"lev_1","func","q0",0.0430143211434772,0.0141071256625779,-67.2036538353759
"lev_2","func","q0",0.117317136434548,0.0565777957027375,-51.7736305008582
"lev_3","func","q0",0.116583046836879,0.0556541158264406,-52.2622565317658
"all_scfa","func","q1",0.0952922408861962,0.0477325685323975,-49.9092810825987
"C1","func","q1",0.0662629735416044,0.0336883359204765,-49.1596375473179
"C2","func","q1",0.0893954697355599,0.0430494865707994,-51.8437716160072
"C3","func","q1",0.0651847748784708,0.0312963695926344,-51.988221711308
"C4","func","q1",0.112261486787391,0.0749907530033969,-33.1999288897538
"C5","func","q1",0.159596687541718,0.0712871509638967,-55.3329382570909
"lev_1","func","q1",0.052166501545461,0.0239108507923425,-54.1643581916161
"lev_2","func","q1",0.0935820521341088,0.0476613557360106,-49.0699822785368
"lev_3","func","q1",0.0952922408861962,0.0477325685323975,-49.9092810825987
"ASV","phylo","q0",0.579746975440471,0.527216159321926,-9.06099011187317
"Family","phylo","q0",0.23853184007015,0.169696426575438,-28.8579560173049
"Phylum","phylo","q0",0.147147206616527,0.0848355725185341,-42.3464607523131
"ASV","phylo","q1",0.333151005906559,0.203511791283514,-38.9130491352638
"Family","phylo","q1",0.240666372104194,0.129641045729537,-46.1324635444249
"Phylum","phylo","q1",0.169733947170329,0.10634277466246,-37.3473742670086
"ASV","taxo","q0",0.814879663092757,0.693475970059003,-14.8983584365064
"Family","taxo","q0",0.298933093636094,0.228273807418322,-23.6371575185278
"Phylum","taxo","q0",0.179339304486363,0.103985942755996,-42.0172041740559
"ASV","taxo","q1",0.842094388888327,0.719286252232014,-14.5836545495138
"Family","taxo","q1",0.282074594095767,0.151668637759981,-46.2310179879269
"Phylum","taxo","q1",0.174987612654748,0.108985200928522,-37.7183337293994
