"Facet","Rank","Order","Species","North Red Sea","Levantine Sea","Northern Crete","Change in dissimilarity red_levant","Change in dissimilarity red_crete"
"func","all_scfa","q0","Siganus_luridus__Siganus_luridus",0.0622470571637882,NA,0.0487159831655218,NA,-21.7376926955158
"func","C1","q0","Siganus_luridus__Siganus_luridus",0.0613183229269731,NA,0.0714905515229107,NA,16.5892152791788
"func","C2","q0","Siganus_luridus__Siganus_luridus",0.0631005618621717,NA,0.0139490139490139,NA,-77.8939940669906
"func","C3","q0","Siganus_luridus__Siganus_luridus",0.0947321735711828,NA,0.0370743725454031,NA,-60.8640115097275
"func","C4","q0","Siganus_luridus__Siganus_luridus",0.0512572097789489,NA,0.0597393960578602,NA,16.5482793844836
"func","C5","q0","Siganus_luridus__Siganus_luridus",0.0754741428735237,NA,0.0747419648348441,NA,-0.970104476584173
"func","lev_1","q0","Siganus_luridus__Siganus_luridus",0.0309017713365539,NA,0.0171303093042223,NA,-44.5652835960288
"func","lev_2","q0","Siganus_luridus__Siganus_luridus",0.0633169771135318,NA,0.0495335824932404,NA,-21.7688766088387
"func","lev_3","q0","Siganus_luridus__Siganus_luridus",0.0622470571637882,NA,0.0487159831655218,NA,-21.7376926955158
"func","all_scfa","q1","Siganus_luridus__Siganus_luridus",0.0531552606558936,NA,0.0551082172520402,NA,3.67406080235269
"func","C1","q1","Siganus_luridus__Siganus_luridus",0.0375542073158939,NA,0.0418767340823272,NA,11.5100998673027
"func","C2","q1","Siganus_luridus__Siganus_luridus",0.0591083594023404,NA,0.0402794187611664,NA,-31.85495390425
"func","C3","q1","Siganus_luridus__Siganus_luridus",0.0307222730861164,NA,0.0372387663225117,NA,21.2109736090462
"func","C4","q1","Siganus_luridus__Siganus_luridus",0.0635529537206019,NA,0.0895710896444764,NA,40.9393024252786
"func","C5","q1","Siganus_luridus__Siganus_luridus",0.0765225309048822,NA,0.0760102984872409,NA,-0.669387710500627
"func","lev_1","q1","Siganus_luridus__Siganus_luridus",0.0341053724208748,NA,0.0291911966080769,NA,-14.4088026723614
"func","lev_2","q1","Siganus_luridus__Siganus_luridus",0.0531117665586962,NA,0.0550663457512051,NA,3.68012461108553
"func","lev_3","q1","Siganus_luridus__Siganus_luridus",0.0531552606558936,NA,0.0551082172520402,NA,3.67406080235269
"phylo","ASV","q0","Siganus_luridus__Siganus_luridus",0.337024054330678,NA,0.256606356655169,NA,-23.8611151465783
"phylo","Family","q0","Siganus_luridus__Siganus_luridus",0.178131288379267,NA,0.127990006549018,NA,-28.1484978222868
"phylo","Phylum","q0","Siganus_luridus__Siganus_luridus",0.0857877753173808,NA,0.0737511009562039,NA,-14.0307570824
"phylo","ASV","q1","Siganus_luridus__Siganus_luridus",0.204936440188643,NA,0.126066686807141,NA,-38.484982616514
"phylo","Family","q1","Siganus_luridus__Siganus_luridus",0.137415920936944,NA,0.0812253489088001,NA,-40.8908746854217
"phylo","Phylum","q1","Siganus_luridus__Siganus_luridus",0.108243101850477,NA,0.0730020596757098,NA,-32.5573099553704
"taxo","ASV","q0","Siganus_luridus__Siganus_luridus",0.507654565321262,NA,0.358306364895719,NA,-29.419256838758
"taxo","Family","q0","Siganus_luridus__Siganus_luridus",0.221974528930153,NA,0.154170512146669,NA,-30.5458545673136
"taxo","Phylum","q0","Siganus_luridus__Siganus_luridus",0.103928170594837,NA,0.0845558481922118,NA,-18.640107193023
"taxo","ASV","q1","Siganus_luridus__Siganus_luridus",0.505315256754065,NA,0.372984088464927,NA,-26.1878434344489
"taxo","Family","q1","Siganus_luridus__Siganus_luridus",0.157579729575773,NA,0.088486807038971,NA,-43.8463263789132
"taxo","Phylum","q1","Siganus_luridus__Siganus_luridus",0.111963076858414,NA,0.0749388372930773,NA,-33.0682583975046
"func","all_scfa","q0","Siganus_rivulatus__Siganus_rivulatus",0.135059329398106,0.0910536649390746,0.0453870937720779,-32.582469241587,-66.3946992967119
"func","C1","q0","Siganus_rivulatus__Siganus_rivulatus",0.130906135815528,0.111230325854702,0.0450127878149669,-15.0304719012962,-65.6144553236231
"func","C2","q0","Siganus_rivulatus__Siganus_rivulatus",0.217076944560339,0.0588595829694901,0.0326154785271522,-72.8853826053695,-84.975153122221
"func","C3","q0","Siganus_rivulatus__Siganus_rivulatus",0.0952275256595009,0.0986898781336121,0.0316870768463176,3.63587360916142,-66.7248764190103
"func","C4","q0","Siganus_rivulatus__Siganus_rivulatus",0.101676583212211,0.0853981185777525,0.041781598225588,-16.0100429422218,-58.9073541757548
"func","C5","q0","Siganus_rivulatus__Siganus_rivulatus",0.207882091645606,0.121800308912419,0.104669874073261,-41.4089458364396,-49.649403060798
"func","lev_1","q0","Siganus_rivulatus__Siganus_rivulatus",0.0506467605607341,0.0322197729806425,0.00891548735436203,-36.3833488580073,-82.3967273411873
"func","lev_2","q0","Siganus_rivulatus__Siganus_rivulatus",0.135110663455711,0.0919568412802511,0.0461360392023417,-31.9396123679058,-65.8531473221098
"func","lev_3","q0","Siganus_rivulatus__Siganus_rivulatus",0.135059329398106,0.0910536649390746,0.0453870937720779,-32.582469241587,-66.3946992967119
"func","all_scfa","q1","Siganus_rivulatus__Siganus_rivulatus",0.0947087853696243,0.0273430922875664,0.0310329472370705,-71.1292968431036,-67.2332961340843
"func","C1","q1","Siganus_rivulatus__Siganus_rivulatus",0.0724412061657073,0.020985102690591,0.0217075012154295,-71.0315388142652,-70.0343183605002
"func","C2","q1","Siganus_rivulatus__Siganus_rivulatus",0.0898623289339351,0.0247227211430565,0.032495447318672,-72.488225671035,-63.8386321563489
"func","C3","q1","Siganus_rivulatus__Siganus_rivulatus",0.0657901600862403,0.0170396299633652,0.0163259465649861,-74.100032678095,-75.1848201257066
"func","C4","q1","Siganus_rivulatus__Siganus_rivulatus",0.100374949248714,0.0353435949832066,0.0526743272867813,-64.7884305319741,-47.5224369416493
"func","C5","q1","Siganus_rivulatus__Siganus_rivulatus",0.134151151880347,0.0562648733611941,0.0497321576888781,-58.0585983999763,-62.9282663683458
"func","lev_1","q1","Siganus_rivulatus__Siganus_rivulatus",0.0599758731862497,0.0142307182156663,0.0167266204786264,-76.272595195948,-72.1110846912001
"func","lev_2","q1","Siganus_rivulatus__Siganus_rivulatus",0.0936913489189685,0.0269563380543385,0.0309447846311334,-71.2285730055478,-66.971566758104
