"Package","Version"
"abind","1.4-5"
"ade4","1.7-16"
"adephylo","1.1-11"
"ape","5.5"
"BiocGenerics","0.37.6"
"Biostrings","2.59.4"
"car","3.0-10"
"carData","3.0-4"
"compositions","2.0-1"
"dada2","1.19.2"
"DECIPHER","2.19.4"
"devtools","2.4.1"
"dplyr","1.0.6"
"ecodist","2.0.7"
"entropart","1.6-7"
"epitools","0.5-10.1"
"forcats","0.5.1"
"genefilter","1.73.1"
"GenomeInfoDb","1.27.13"
"ggplot2","3.3.5"
"ggrepel","0.9.1"
"ggtree","2.99.0"
"googledrive","1.0.1"
"impute","1.65.0"
"IRanges","2.25.11"
"kableExtra","1.3.4"
"klaR","0.6-15"
"labdsv","2.0-1"
"lme4","1.1-27"
"lmerTest","3.1-3"
"Matrix","1.3-4"
"mda","0.5-2"
"mgcv","1.8-36"
"MicEco","0.9.15"
"microbiome","1.13.3"
"MuMIn","1.43.17"
"pairwiseAdonis","0.4"
"permute","0.9-5"
"phyloseq","1.35.0"
"picante","1.8.2"
"PMA","1.2.1"
"purrr","0.3.4"
"PVR","0.3"
"R.methodsS3","1.8.1"
"R.oo","1.24.0"
"R.utils","2.10.1"
"randomcoloR","1.1.0.1"
"Rcpp","1.0.7"
"RCy3","2.11.12"
"readr","1.4.0"
"readxl","1.3.1"
"reshape2","1.4.4"
"RSQLite","2.2.7"
"S4Vectors","0.29.19"
"stringr","1.4.0"
"sys","3.4"
"tibble","3.1.2"
"tidyr","1.1.3"
"tidyverse","1.3.1"
"usethis","2.0.1"
"vegan","2.5-7"
"XVector","0.31.1"
"base","4.1.2"
"class","7.3-20"
"cluster","2.1.2"
"datasets","4.1.2"
"graphics","4.1.2"
"grDevices","4.1.2"
"lattice","0.20-45"
"MASS","7.3-55"
"Matrix","1.4-0"
"methods","4.1.2"
"mgcv","1.8-38"
"nlme","3.1-155"
"parallel","4.1.2"
"stats","4.1.2"
"stats4","4.1.2"
"utils","4.1.2"
